density,flow rate
0.011804038,0.045915
,
0.014747994,0.0641825
,
0.089284314,0.2787975
,
0.042774703,0.184371667
,
0.054040115,0.2206175
,
0.058420021,0.230869167
,
0.023810788,0.1006225
,
0.075992742,0.258359167
,
0.011894807,0.045934167
,
0.041742452,0.17763
,
0.030160437,0.136413333
,
0.020253602,0.0916275
,
0.016310859,0.073215
,
0.091677054,0.281926667
,
0.070445966,0.254619167
,
0.391204957,0.298724167
,
0.014157725,0.064133333
,
0.437738346,0.284955833
,
0.862838959,0.080536667
,
0.750801547,0.139638333
,
0.381386689,0.305950833
,
0.681674207,0.175010833
,
0.212686102,0.3387225
,
0.757053464,0.1365725
,
0.664281075,0.18262
,
0.667527614,0.182724167
,
0.355095163,0.314885833
,
0.174056031,0.335875833
,
0.203584396,0.341054167
,
0.321794846,0.322399167
,
0.442465917,0.2811375
,
0.833152569,0.0975925
,
0.274531282,0.334584167
,
0.299316959,0.330383333
,
0.131364252,0.316961667
,
0.214509426,0.339109167
,
0.986734677,0.008358333
,
0.75236342,0.139043333
,
0.020753714,0.091245
,
0.174833835,0.334020833
,
0.133594931,0.315189167
,
0.031603989,0.1367425
,
0.913779232,0.0524225
,
0.842582892,0.091853333
,
0.79138447,0.119439167
,
0.643297819,0.193740833
,
0.989792356,0.0071675
,
0.828833365,0.099110833
,
0.970814551,0.017950833
,
0.181294144,0.332615
,
0.018751915,0.082374167
,
0.421838446,0.289544167
,
0.726003571,0.152704167
,
0.243524929,0.3411375
,
0.084759273,0.273788333
,
0.051274078,0.210229167
,
0.618693583,0.204150833
,
0.503096215,0.256466667
,
0.891193084,0.064703333
,
0.868544005,0.07734
,
0.86869733,0.077308333
,
0.983353998,0.010853333
,
0.517915483,0.2510475
,
0.567660213,0.22744
,
0.435921401,0.285445
,
0.93210482,0.040704167
,
0.265243266,0.339404167
,
0.145702896,0.3268175
,
0.685268258,0.172144167
,
0.972758784,0.016718333
,
0.685340641,0.1726925
,
0.715806999,0.158354167
,
0.469191799,0.270913333
,
0.666397982,0.181561667
,
0.524606364,0.2481075
,
0.938300923,0.03713
,
0.972077004,0.01691
,
0.585585915,0.220481667
,
0.71784319,0.1573525
,
0.600693083,0.21429
,
0.702828869,0.163486667
,
0.779496197,0.126001667
,
0.331143581,0.3234225
,
0.937974077,0.03796
,
0.315871082,0.325269167
,
0.645449069,0.191988333
,
0.016021429,0.073185833
,
0.312511421,0.329275
,
0.019765917,0.082450833
,
0.503827372,0.2577975
,
0.41668469,0.291461667
,
0.658700647,0.1856725
,
0.118263911,0.3085675
,
0.9746164,0.01555
,
0.134130991,0.317356667
,
0.800111948,0.1141125
,
0.173075506,0.333763333
,
0.015673126,0.064226667
,
0.032046048,0.144130833
,
0.645967988,0.1918625
,
0.869278295,0.077233333
,
0.715660023,0.157901667
,
0.958197738,0.02516
,
0.942895528,0.034613333
,
0.315857035,0.3234825
,
0.087579773,0.275308333
,
0.438413563,0.284243333
,
0.969619578,0.019220833
,
0.513839288,0.252360833
,
0.214525636,0.339240833
,
0.467152938,0.272188333
,
0.874013448,0.073798333
,
0.364330603,0.3111775
,
0.518619637,0.249955833
,
0.999115488,0.001248333
,
0.559511448,0.232559167
,
0.331008727,0.324759167
,
0.587395332,0.220143333
,
0.651390997,0.189928333
,
0.6186277,0.204645
,
0.834841845,0.096181667
,
0.483701404,0.2665775
,
0.172775463,0.335155833
,
0.771085174,0.130486667
,
0.503438244,0.25773
,
0.240952068,0.340441667
,
0.62697071,0.20201
,
0.355909778,0.315420833
,
0.789368769,0.120308333
,
0.46122474,0.275490833
,
0.943641332,0.034589167
,
0.51759251,0.253493333
,
0.869249986,0.0769925
,
0.913988156,0.052141667
,
0.591416475,0.216910833
,
0.181608148,0.3353325
,
0.74151561,0.146270833
,
0.185097924,0.337215
,
0.295202828,0.3311525
,
0.16147425,0.3341975
,
0.777530966,0.12685
,
0.690705967,0.1696
,
0.553705248,0.236208333
,
0.863934604,0.080699167
,
0.694343814,0.168610833
,
0.744352503,0.143595
,
0.587121606,0.219631667
,
0.031504535,0.136258333
,
0.587873315,0.220325833
,
0.597008134,0.214798333
,
0.078152827,0.260214167
,
0.681056159,0.1752075
,
0.092913222,0.286250833
,
0.293080175,0.330014167
,
0.962424106,0.0228075
,
0.430067668,0.287633333
,
0.944168819,0.033205
,
0.569161205,0.228563333
,
0.491827391,0.2624875
,
0.544766678,0.2396475
,
0.914318805,0.051134167
,
0.570474604,0.227121667
,
0.884527784,0.068290833
,
0.50110033,0.257926667
,
0.158476834,0.328176667
,
0.562449351,0.230243333
,
0.262801379,0.334941667
,
0.364621198,0.310700833
,
0.162741936,0.332053333
,
0.433153752,0.285226667
,
0.673759468,0.177845
,
0.329030306,0.322655
,
0.522869312,0.248836667
,
0.219515856,0.334885833
,
0.29840221,0.331676667
,
0.091928134,0.28014
,
0.056797726,0.224335833
,
0.064127621,0.236809167
,
0.092627788,0.282365
,
0.080195075,0.2734675
,
0.064572589,0.2394475
,
0.055841685,0.2204425
,
0.072958021,0.259455833
,
0.073417058,0.255426667
,
0.019632395,0.08247
,
0.089090106,0.2758525
,
0.029921263,0.127615833
,
0.076070615,0.263153333
,
0.015983817,0.064009167
,
0.0257879,0.109675833
,
0.04409862,0.191735833
,
0.093258346,0.281100833
,
0.036369726,0.16241
,
0.016084342,0.07323
,
0.012980031,0.05507
,
0.064703169,0.2433525
,
0.079658875,0.26366
,
0.071834727,0.254059167
,
0.07888195,0.261061667
,
0.095349505,0.285744167
,
0.095205446,0.28536
,
0.088476647,0.277831667
,
0.051041871,0.211928333
,
0.021146474,0.091269167
,
0.032112945,0.145694167
,
0.222473159,0.339856667
,
0.228456955,0.335813333
,
0.182058657,0.336855833
,
0.066959787,0.242131667
,
0.116799167,0.306550833
,
0.275969443,0.334721667
,
0.232215033,0.343225833
,
0.281007251,0.3357475
,
0.205280041,0.339384167
,
0.158947512,0.329739167
,
0.202672734,0.338179167
,
0.209708064,0.339955833
,
0.169730652,0.3376025
,
0.111660218,0.30456
,
0.145270895,0.32494
,
0.074216714,0.259364167
,
0.080951994,0.269915
,
0.146627929,0.3256425
,
0.297788022,0.3292275
,
0.174323148,0.337015
,
0.078063028,0.269206667
,
0.098507112,0.290314167
,
0.089496625,0.274301667
,
0.067116233,0.244491667
,
0.050582843,0.2115275
,
0.019362015,0.082511667
,
0.093758443,0.279149167
,
0.057132104,0.226175
,
0.022353338,0.100788333
,
0.011212553,0.045836667
,
0.011804038,0.045915
,
0.014747994,0.0641825
,
0.089284314,0.2787975
,
0.042774703,0.184371667
,
0.054040115,0.2206175
,
0.058420021,0.230869167
,
0.023810788,0.1006225
,
0.075992742,0.258359167
,
0.011894807,0.045934167
,
0.041742452,0.17763
,
0.030160437,0.136413333
,
0.020253602,0.0916275
,
0.016310859,0.073215
,
0.091677054,0.281926667
,
0.070445966,0.254619167
,
0.391204957,0.298724167
,
0.014157725,0.064133333
,
0.437738346,0.284955833
,
0.862838959,0.080536667
,
0.750801547,0.139638333
,
0.381386689,0.305950833
,
0.681674207,0.175010833
,
0.212686102,0.3387225
,
0.757053464,0.1365725
,
0.664281075,0.18262
,
0.667527614,0.182724167
,
0.355095163,0.314885833
,
0.174056031,0.335875833
,
0.203584396,0.341054167
,
0.321794846,0.322399167
,
0.442465917,0.2811375
,
0.833152569,0.0975925
,
0.274531282,0.334584167
,
0.299316959,0.330383333
,
0.131364252,0.316961667
,
0.214509426,0.339109167
,
0.986734677,0.008358333
,
0.75236342,0.139043333
,
0.020753714,0.091245
,
0.174833835,0.334020833
,
0.133594931,0.315189167
,
0.031603989,0.1367425
,
0.913779232,0.0524225
,
0.842582892,0.091853333
,
0.79138447,0.119439167
,
0.643297819,0.193740833
,
0.989792356,0.0071675
,
0.828833365,0.099110833
,
0.970814551,0.017950833
,
0.181294144,0.332615
,
0.018751915,0.082374167
,
0.421838446,0.289544167
,
0.726003571,0.152704167
,
0.243524929,0.3411375
,
0.084759273,0.273788333
,
0.051274078,0.210229167
,
0.618693583,0.204150833
,
0.503096215,0.256466667
,
0.891193084,0.064703333
,
0.868544005,0.07734
,
0.884954295,0.068383333
0.415539924,0.294465833
0.270649069,0.336400833
0.830112145,0.097885
0.331221922,0.319115
0.490198269,0.2621175
0.226987415,0.336900833
0.248986014,0.335391667
0.202751366,0.338428333
0.777131176,0.126916667
0.984286996,0.009564167
0.352665678,0.311711667
0.612208363,0.206893333
0.344842049,0.315130833
0.218922894,0.338348333
0.316414372,0.325383333
0.226612168,0.34117
0.103246343,0.294634167
0.242924706,0.338961667
0.627202531,0.201719167
0.043183138,0.188194167
0.657138474,0.1866625
0.205662298,0.3388975
0.629140182,0.2006225
0.513234555,0.2527675
0.244929969,0.339675
0.747706266,0.141998333
0.725848487,0.1532975
0.503161471,0.2568425
0.208739513,0.336130833
0.51950007,0.2491775
0.346777629,0.31586
0.928275573,0.04288
0.789230696,0.1209575
0.290172143,0.331974167
0.400331174,0.297594167
0.066671327,0.245565
0.676687611,0.177591667
0.088627549,0.280048333
0.948246017,0.0311975
0.232537824,0.335768333
0.048301157,0.20782
0.485234467,0.265080833
0.215115562,0.339124167
0.967801606,0.020410833
0.357926496,0.314146667
0.570931467,0.226743333
0.634718904,0.196940833
0.147031494,0.323985
0.282550655,0.333930833
0.588892774,0.218644167
0.157543417,0.329235833
0.266801605,0.337009167
0.503861949,0.2575875
0.778413035,0.126015833
0.074086325,0.259809167
0.868289758,0.077206667
0.037545396,0.162986667
0.854411256,0.085315
0.667628308,0.182081667
0.434059309,0.28569
0.028226265,0.126920833
0.868231977,0.077395833
0.051100727,0.210071667
0.257649605,0.337889167
0.314120862,0.323639167
0.0361449,0.162268333
0.148228792,0.324923333
0.787588674,0.1211175
0.756182261,0.13696
0.048250651,0.205953333
0.472196791,0.269451667
0.812652536,0.108165833
0.060082681,0.236058333
0.544567514,0.239389167
0.79561297,0.117416667
0.17873022,0.338460833
0.675005299,0.177425
0.296140297,0.32881
0.379043815,0.305096667
0.480657162,0.266924167
0.719754714,0.1564475
0.262109455,0.338848333
0.085279373,0.27303
0.499523149,0.259689167
0.929426809,0.043006667
0.060103654,0.2337575
0.056290507,0.225170833
0.054740281,0.22028
0.86275747,0.081263333
0.371207513,0.309245
0.729603626,0.151043333
0.672816371,0.1789075
0.311994343,0.3264825
0.031235721,0.136645833
0.373864244,0.308715
0.691645939,0.170336667
0.948872312,0.031106667
0.70711996,0.162103333
0.935130328,0.039494167
0.247488347,0.3369875
0.132449813,0.316601667
0.660457667,0.184960833
0.549968559,0.236604167
0.522077334,0.249914167
0.669439017,0.181060833
0.210484434,0.341624167
0.184288466,0.336886667
0.297682844,0.330283333
0.511836942,0.25418
0.899053806,0.060149167
0.285712691,0.332339167
0.133816371,0.316378333
0.294555643,0.331080833
0.658357919,0.186095833
0.210006684,0.336183333
0.41356805,0.294040833
0.307853582,0.324106667
0.894504046,0.06243
0.121554573,0.306225
0.181299555,0.33366
0.678007702,0.175456667
0.919437858,0.048881667
0.374196516,0.307605833
0.27142911,0.332583333
0.940678214,0.035676667
0.027938055,0.118353333
0.768582154,0.130935
0.254785998,0.337628333
0.137636699,0.321334167
0.084001322,0.272919167
0.938653857,0.036883333
0.290538601,0.328579167
0.114890218,0.29912
0.634378885,0.198471667
0.853418847,0.086663333
0.950388989,0.029888333
0.519330341,0.252203333
0.761228626,0.1356725
0.422961359,0.291299167
0.077681478,0.261563333
0.546374639,0.237899167
0.562254305,0.230143333
0.124764847,0.3101
0.963320891,0.022833333
0.986352455,0.008376667
0.972893875,0.0167625
0.278225233,0.3338425
0.484782053,0.2658025
0.380659249,0.305889167
0.79616101,0.116926667
0.498968384,0.259374167
0.897889073,0.0611675
0.906711015,0.0555525
0.068187178,0.251349167
0.601725188,0.2139375
