density of cars,density of busses,flow rate,
0.620035935,0.122360413,0.251792,0.86475676
,,,0
0.586713513,0.172092249,0.245524,0.93089801
,,,0
0.627084845,0.093973047,0.249924,0.81503094
,,,0
0.013500507,0.281323749,0.564532,0.576148004
,,,0
0.79328857,0.011707264,0.21748,0.816703099
,,,0
0.062122552,0.406704787,0.479428,0.875532125
,,,0
0.285999521,0.328189564,0.305424,0.942378648
,,,0
0.486991451,0.109171839,0.308772,0.70533513
,,,0
0.247267038,0.010658409,0.521688,0.268583857
,,,0
0.16010557,0.124736794,0.539472,0.409579159
,,,0
0.618880283,0.185105656,0.233916,0.989091595
,,,0
0.965002921,0.010138305,0.141928,0.985279531
,,,0
0.377098216,0.284596339,0.272788,0.946290894
,,,0
0.358122315,0.19041889,0.34212,0.738960096
,,,0
0.174240865,0.246873017,0.469764,0.667986898
,,,0
0.900440562,0.021647029,0.15824,0.94373462
,,,0
0.44765882,0.15763922,0.324828,0.76293726
,,,0
0.814546869,0.004773602,0.203128,0.824094072
,,,0
0.175489557,0.032061986,0.541336,0.239613528
,,,0
0.871315665,0.003019635,0.17826,0.877354935
,,,0
0.187665577,0.050805249,0.56574,0.289276075
,,,0
0.822776107,0.088524501,0.143348,0.99982511
,,,0
0.762163373,0.030474298,0.220164,0.82311197
,,,0
0.968862261,0.009633736,0.154924,0.988129733
,,,0
0.153258609,0.208752905,0.502144,0.570764418
,,,0
0.446735711,0.262158388,0.24386,0.971052486
,,,0
0.129184475,0.138640745,0.528008,0.406465965
,,,0
0.371089559,0.022506546,0.413252,0.416102652
,,,0
0.050223,0.038624514,0.470512,0.127472027
,,,0
0.188497606,0.373423539,0.376116,0.935344684
,,,0
0.618057918,0.000794902,0.291756,0.619647722
,,,0
0.203559365,0.334083408,0.372824,0.871726182
,,,0
0.967834128,0.013127149,0.137448,0.994088426
,,,0
0.498330104,0.119618096,0.32256,0.737566296
,,,0
0.093649225,0.408853658,0.446764,0.911356542
,,,0
0.394369778,0.00420458,0.425188,0.402778939
,,,0
0.181165923,0.193918512,0.478,0.569002948
,,,0
0.03589705,0.193460567,0.619384,0.422818184
,,,0
0.911620157,0.026812454,0.145112,0.965245066
,,,0
0.988846957,0.002261624,0.13458,0.993370205
,,,0
0.482130503,0.06032269,0.349652,0.602775883
,,,0
0.735235848,0.10522978,0.182604,0.945695409
,,,0
0.289114687,0.317580008,0.311264,0.924274704
,,,0
0.51301708,0.23240508,0.227416,0.97782724
,,,0
0.998034227,0.000503525,0.127944,0.999041277
,,,0
0.369283959,0.304160174,0.26742,0.977604308
,,,0
0.494270013,0.023133857,0.347676,0.540537726
,,,0
0.225920901,0.283217838,0.4029,0.792356578
,,,0
0.649155329,0.090035057,0.247632,0.829225443
,,,0
0.376072178,0.176539446,0.339576,0.729151071
,,,0
0.285723123,0.027261735,0.486764,0.340246592
,,,0
0.325389394,0.322559879,0.2991,0.970509153
,,,0
0.387189457,0.253834109,0.271088,0.894857675
,,,0
0.796246918,0.087825618,0.156076,0.971898155
,,,0
0.190207158,0.081042283,0.535204,0.352291723
,,,0
0.466835826,0.148127799,0.308464,0.763091425
,,,0
0.999955802,2.06E-05,0.137752,0.999997066
,,,0
0.053927598,0.196497433,0.561444,0.446922465
,,,0
0.512783765,0.172551072,0.27712,0.857885909
,,,0
0.65979663,0.034687392,0.268564,0.729171414
,,,0
0.14964409,0.030989111,0.57544,0.211622312
,,,0
0.967340524,0.015992063,0.138836,0.999324649
,,,0
0.972143441,0.002896407,0.141616,0.977936255
,,,0
0.826372679,0.080413656,0.169732,0.987199992
,,,0
0.496983892,0.218657954,0.24498,0.9342998
,,,0
0.071338422,0.140428079,0.614284,0.352194579
,,,0
0.045450713,0.377664583,0.473332,0.800779879
,,,0
0.81146933,0.005734564,0.210824,0.822938458
,,,0
0.540792128,0.132280389,0.268592,0.805352906
,,,0
0.856165225,0.025086796,0.1836,0.906338818
,,,0
0.523631175,0.127234974,0.277468,0.778101123
,,,0
0.838853961,0.030178897,0.171804,0.899211755
,,,0
0.295200336,0.195657172,0.403008,0.686514679
,,,0
0.763821197,0.05059927,0.209444,0.865019737
,,,0
0.833440357,0.080771967,0.156596,0.994984291
,,,0
0.905623512,0.022915997,0.172472,0.951455506
,,,0
0.59864712,0.068807867,0.273904,0.736262855
,,,0
0.783435251,0.080926112,0.19084,0.945287476
,,,0
0.91195308,0.02099819,0.15398,0.95394946
,,,0
0.137477325,0.108890712,0.555116,0.355258749
,,,0
0.605249427,0.101624488,0.272476,0.808498403
,,,0
0.941471623,0.017029137,0.15234,0.975529897
,,,0
0.753049064,0.11342457,0.179696,0.979898204
,,,0
0.621593101,0.171166784,0.202152,0.963926669
,,,0
0.968363527,0.011880728,0.139548,0.992124982
,,,0
0.227389066,0.023709451,0.545888,0.274807969
,,,0
0.85137037,0.008532673,0.198976,0.868435716
,,,0
0.527100085,0.111071258,0.287188,0.749242602
,,,0
0.659987448,0.145566434,0.192916,0.951120316
,,,0
0.472349452,0.160070515,0.301516,0.792490483
,,,0
0.05642727,0.230794637,0.557144,0.518016544
,,,0
0.158359658,0.32999143,0.424804,0.818342518
,,,0
0.850666308,0.009977631,0.1868,0.870621569
,,,0
0.806225922,0.093168693,0.149676,0.992563308
,,,0
0.893537009,0.046524085,0.13224,0.98658518
,,,0
0.282002038,0.104589931,0.444696,0.4911819
,,,0
