intervals,flow rates
1,0.28514266666666627
2,0.1349133333333349
3,0.24769955555555634
4,0.186994666666667
5,0.04134977777777772
6,0.013086666666666665
7,0.09282711111111093
8,0.18076488888888995
9,0.24564222222222235
10,0.2476893333333345
11,0.015437777777777809
12,0.24684222222222238
13,0.2484293333333337
14,0.011527555555555543
15,0.04601066666666698
16,0.039421777777778
17,0.013254666666666673
18,0.23630933333333506
19,0.244495111111112
20,0.01844044444444448
21,0.010584888888888888
22,0.018331111111111166
23,0.0238164444444445
24,0.024019999999999996
25,0.24684711111111196
26,0.023217333333333277
27,0.24334044444444544
28,0.24150755555555684
29,0.037837333333333646
30,0.014496888888888912
