1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1497,809,715,734,722,892,801,821,763,1466,712,665,711,741,732,1414,716,839,753,794
1522,779,1016,1432,790,1075,736,1496,794,766,760,822,770,1404,772,745,1520,777,746,815
790,802,828,779,745,782,1042,1458,753,704,704,817,1499,1188,815,1377,1184,751,745,766
1414,738,1012,739,816,735,723,813,1454,780,785,906,763,696,762,754,1196,750,762,1473
759,744,822,747,733,807,750,1189,791,754,1171,1401,1097,775,1463,801,744,1436,1110,1383
775,1642,832,1534,711,969,776,728,731,782,760,814,778,735,772,759,763,756,824,769
874,808,1353,758,778,1438,744,808,1425,758,723,994,790,1596,1226,767,754,1411,1354,745
1426,944,834,780,1338,1266,762,1450,924,1418,728,1388,1457,1304,846,745,1455,723,1272,794
1389,731,828,758,762,1022,1473,746,1350,712,1450,730,755,767,1417,771,775,1131,778,1449
1464,1057,793,740,763,907,768,745,797,1483,760,760,821,797,1500,786,742,1218,884,756
750,789,780,1270,798,744,1559,789,748,793,728,987,726,795,1037,763,971,1439,748,760
754,1497,740,827,738,762,1390,1458,1291,1079,730,749,931,766,1579,758,761,981,787,957
787,736,783,764,770,781,1409,1462,1132,812,1383,759,784,770,766,720,731,1451,767,783
1498,1449,1460,1089,818,809,832,754,722,1366,782,759,1125,707,790,934,728,779,1185,1342
727,770,715,737,778,1583,785,751,757,765,744,1110,774,1244,805,1085,812,737,785,843
1409,1449,1394,770,837,1367,707,914,808,1259,789,729,1708,710,1558,706,1126,1387,758,1484
1485,763,742,1508,1232,1429,810,756,806,1404,807,1510,783,740,731,1500,798,1487,789,1213
1521,755,1438,780,861,1361,782,729,714,871,682,810,753,825,771,1351,776,1415,1054,1522
722,738,731,1125,828,1268,768,1139,1717,767,758,760,736,855,1576,719,720,805,810,749
755,1409,1473,759,1429,721,769,1463,737,772,696,736,741,772,743,727,1434,776,805,741
1423,728,762,739,1620,728,1032,1185,714,938,1043,771,827,764,780,802,1548,757,752,1283
713,772,1463,775,1240,1039,809,696,1450,776,1401,1164,801,1517,1455,778,825,759,1455,748
764,1109,1544,775,774,772,1524,1453,1430,768,753,699,774,780,1253,762,1510,1419,762,748
733,789,768,745,793,763,813,774,740,834,1552,1173,800,743,1216,1545,912,761,1029,758
741,756,945,820,731,731,1269,749,746,1092,788,750,1014,1318,757,1344,1499,785,1432,772
773,734,712,1534,746,1222,1450,1452,755,780,1190,723,776,771,1430,1398,759,1242,706,1385
804,1183,754,792,734,1459,740,719,725,750,1394,761,744,1491,788,1558,781,1405,983,1275
775,763,1304,758,751,838,729,1452,1017,815,768,1293,892,1345,780,777,1520,770,787,771
796,1424,766,755,787,774,1162,744,802,709,761,1282,778,740,741,735,773,775,1556,1557
781,1119,709,1306,750,1453,1486,1076,755,748,762,1440,764,1415,1161,720,733,820,780,775
745,1238,720,812,763,755,1227,1195,1371,1108,821,842,867,772,773,796,1346,1512,746,747
1144,802,790,790,808,743,816,1596,795,828,1510,775,1372,1069,1377,1428,1431,826,790,761
746,713,761,1453,796,799,1598,734,1088,1451,1498,763,816,726,798,716,1071,737,1376,803
1490,796,755,741,814,756,747,1012,781,787,1476,766,1401,1274,1129,723,1450,782,735,1472
730,738,782,998,790,1177,953,1340,860,1221,1546,805,807,752,1440,1027,792,1065,739,718
1486,1519,1568,1535,934,1317,734,768,1359,1466,775,771,754,1459,757,1423,846,735,739,745
797,797,754,1114,743,768,1438,1517,797,1387,715,1236,738,762,762,812,1511,950,820,1461
788,761,758,800,1183,800,827,799,1364,1069,1136,1340,925,1008,763,1521,1400,956,779,1568
