1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
4838,5184,5484,5640,5690,3116,5329,5956,5293,4445,4334,6190,3756,4910,5306,3928,6368,6315,4779,4386,,,,,,,,,,
4797,5717,5757,5134,5830,3990,2990,3062,5826,5335,4752,5795,5622,5489,5534,3119,6295,6058,7315,5188,,,,,,,,,,
4943,5801,5788,2957,5900,3011,5696,2930,3903,4330,4685,6463,4514,4046,6450,5868,5952,3851,5964,6415,,,,,,,,,,
4751,5900,5390,5834,6034,3013,4901,4571,4912,5775,6194,6527,5567,5772,6444,6529,3024,5381,6437,5867,,,,,,,,,,
5279,5374,5931,4024,5460,6261,2975,4598,5403,5791,5598,6313,6643,5846,4522,6300,7294,5507,6013,4028,,,,,,,,,,
4520,5349,5788,4618,4469,5944,6460,5782,4831,5853,5619,6109,4024,5565,5865,6500,4174,5215,5706,5738,,,,,,,,,,
4759,5793,5011,5769,4636,5366,5873,6404,5726,5012,5301,5716,5632,6277,5849,6783,5530,4511,5941,5477,,,,,,,,,,
4899,6502,5663,5488,3031,5910,4431,5327,3840,3031,6183,5827,4904,3138,5989,6472,5339,5928,5454,6377,,,,,,,,,,
4851,5587,4121,5787,5695,4034,4812,4282,5861,5956,4905,6235,6787,6142,6364,5077,5849,6858,5777,4896,,,,,,,,,,
5254,5679,5531,5014,3059,4165,5721,6820,4620,4507,5466,5226,4450,5553,5423,6367,5805,6290,4878,6972,,,,,,,,,,
4482,6023,5709,5756,4485,5902,5459,4935,4275,4767,5597,5964,5865,5487,4893,6079,5505,4947,6349,5705,,,,,,,,,,
4424,5134,5888,5328,5368,4905,4588,4176,5671,4244,5258,4158,5981,4640,7230,4554,6205,4531,5597,5932,,,,,,,,,,
4883,5748,5412,4986,6458,4372,3995,4225,6088,3793,5962,3042,5918,3926,5689,6143,6524,6370,6300,5764,,,,,,,,,,
4235,6239,5069,3926,2998,5884,5793,5159,5446,5957,5873,3048,6545,6533,5657,4611,5198,6225,4573,5290,,,,,,,,,,
4880,5786,5364,4554,4889,4416,5096,5879,7427,4929,5921,4365,5730,3075,5800,3920,6318,6751,5599,4080,,,,,,,,,,
4386,5573,5505,2907,5903,5675,5759,6277,5929,3021,6491,6031,6616,4254,6368,5887,6172,7163,5462,6592,,,,,,,,,,
4326,5317,5758,4779,6052,5812,2980,5016,5391,4033,4802,6089,5642,4955,6459,6748,5868,5652,6714,6034,,,,,,,,,,
4840,5816,5561,4976,5283,4797,5795,3883,3444,4858,6497,6062,2948,7010,6571,6125,6427,6457,5976,5386,,,,,,,,,,
4899,5818,5586,5521,3030,3030,6156,5059,4860,5522,4195,6129,3099,6142,5481,6856,5337,5515,6288,5096,,,,,,,,,,
5340,5982,5673,4837,3056,4386,5153,5453,5706,5735,5355,6252,5778,6187,6141,4660,5023,6043,6473,5302,,,,,,,,,,
4347,5608,5387,5804,5156,4927,5960,3996,4235,3066,3233,6249,6478,4595,5994,6736,5664,5508,6275,5785,,,,,,,,,,
4386,5855,5344,5454,5444,2890,6270,5594,4134,6325,5335,5911,5594,6327,6670,5356,6250,4950,3633,5701,,,,,,,,,,
